label,x,y
1,897.6489842569773,664.0907135450418
1,888.1847479358646,495.6127604550289
1,886.7108663879477,465.1132724469799
1,898.6737592362979,589.8809334727555
1,894.3626871005357,910.2044477760994
1,887.6536891128607,676.9071485198886
1,886.3419488273497,937.0191700882013
1,885.3109423871837,418.76279652737924
1,896.9123138327114,808.9808134314746
1,898.0213340117,839.2223164919765
1,896.6704155457101,747.5491994143821
1,892.9200832692818,536.4968135430871
1,891.0947699392136,970.5894590547249
1,897.4729993745673,506.38151189290306
1,891.3055414702908,579.3470452437227
1,892.2324556706835,596.036636702171
1,897.6806459624511,828.76345268524
1,885.729382174187,787.7913372675882
1,899.5161598810157,548.9180385317886
1,893.8990916512324,789.2066559068321
1,885.8141386630085,792.362261877063
1,886.7067194882104,534.4374965617722
1,886.9058494380097,374.65700911751986
1,892.811008414033,496.84396196773645
1,889.6486170743334,687.9955042976068
1,896.4082458241163,711.767872570035
1,893.5582119577637,543.8865101892578
1,886.4306216059175,387.6962213710045
1,897.1422429756468,487.5196089810963
1,899.5294967755466,479.66794677204865
1,892.2163480776419,360.5105449560239
1,891.4379024404936,354.5041079802299
1,897.3346424479686,443.12750761592633
1,885.2038733923913,528.1486537515411
1,890.6095700779423,580.472124325039
1,892.2689149168655,372.43997825276733
1,895.4347471952784,960.0227858060259
1,895.3715211643686,560.7824976372268
1,898.9207593943544,720.9732547704249
1,891.592207089818,338.7042546380491
1,896.1367826830343,596.6553243481235
1,893.606158150671,900.071224408991
1,895.6794754776106,493.5732584837947
1,886.2260035901529,819.1973292182447
1,886.6775010105005,615.4411094507163
1,892.0368636223347,768.0498930369979
1,885.0279187104182,451.91745412397927
1,890.5076215696773,931.2607379333219
1,890.7179955304158,807.6735961066613
1,899.9785835875051,610.6047977173178
1,890.4166458664736,512.5575993216239
1,896.27372175367,517.6535008958373
1,897.7856482540416,552.3433867188751
1,899.8760459808283,598.4944279581377
1,885.6710705044976,630.0569284482658
1,894.7732740789031,854.6287411560927
1,893.874374880086,931.4453405393302
1,888.6688921173952,767.3767073022634
1,890.3893834631875,594.749473773077
1,897.2176872078535,851.1979219125163
1,899.5717697196387,789.0206164397505
1,891.0026079106027,807.6522205074214
1,890.1000344086508,506.99578791240083
1,894.8251763972024,645.61799166334
1,895.9363919257527,572.157515105888
1,897.2442269036767,966.004476163384
1,886.156847161126,549.9063504788502
1,892.5514673618945,702.3865371655328
1,892.0622509657076,784.7526803895012
1,894.5333128215062,511.55741719228547
1,892.4642951404046,527.9979804198663
1,886.975389067828,844.2213797134128
1,894.4424090299013,842.6681561212941
1,887.3404849846816,870.3842001194255
1,887.822532132506,792.4237131706517
1,898.9036509162498,614.3516277186341
1,892.2958880167466,354.2197392194536
1,898.5361909810878,523.2791915871645
1,894.786074048912,937.16386126578
1,886.7104111227558,871.1171273109036
1,887.4539418223621,850.6167839825989
1,896.1857111477723,702.7615012655847
1,892.0633396943604,444.7012363888103
1,888.3576738284276,664.2165349475573
1,889.4606037996368,668.0090685269681
1,888.9663630111472,510.8617918156591
1,895.5896927115646,721.217406519698
1,890.8621993679272,379.3734439695251
1,896.7287984376774,735.3622790032043
1,891.9872204557698,837.5905558062162
1,895.9411860118247,598.5048673969746
1,888.0123031250603,588.7366361289121
1,897.845158001183,375.36743541023395
1,893.6800242310304,432.68735270052446
1,899.0832811673808,500.01782099832127
1,898.9257709781639,590.9764391656404
1,890.3129446064935,431.74474585524325
1,898.2414788423118,586.9799334018716
